id;x;y;bio02;bio04;bio06;bio09;bio12;bio15;bio16;acap;aset;aste;catr;ccor;cdel;cfee;chir;cleu;cpha;cvil;sgar;dsel
9640;-55.5208333336667;-32.7458333330625;12.0499997138977;472.406000084069;4.5;19.6666665077209;1222;7.72227310055835;323;0;0;0;0;0;0;0;0;0;0;0;0;0
9641;-57.2958333336667;-32.7541666663953;11.7833333412806;489.019590469968;5;12.199999888738;1258;16.6891312688453;385;0;0;0;0;0;0;0;0;0;0;0;0;0
9642;-56.6625000003333;-32.7541666663953;10.999999721845;494.777264789477;5.09999990463257;11.8166666825612;1292;13.1690903852846;375;0;0;0;0;0;0;0;0;0;0;0;0;0
9643;-54.854166667;-32.7541666663953;11.6083335479101;458.641564899213;4.40000009536743;19.0833333333333;1283;6.35221812438064;331;0;0;0;0;0;0;0;0;0;0;0;0;0
9644;-53.479166667;-32.7541666663953;9.60000014305115;426.912811256902;6.90000009536743;19.6000000635783;1270;12.5318049118459;349;0;0;0;0;0;0;0;0;0;0;0;0;0
9645;-57.3875000003333;-32.7624999997281;11.700000166893;492.603608781696;4.90000009536743;12.0833335717519;1257;17.4650231048469;388;0;0;0;0;0;0;0;0;0;0;0;0;0
9646;-54.979166667;-32.7624999997281;11.7416664361954;462.768960045886;4.30000019073486;19.1499999364217;1274;5.77734856018871;330;0;0;0;0;0;0;0;0;0;0;0;0;0
9647;-53.9208333336667;-32.7624999997281;10.5916666587194;443.258208278838;5.90000009536743;19.4999998410543;1287;11.4647476398356;344;0;0;0;0;0;0;0;0;0;0;0;0;0
9648;-52.5458333336667;-32.7624999997281;7.30833347638448;402.014573478304;8.60000038146973;19.2499998410543;1206;13.9994796778156;335;0;0;0;0;0;0;0;0;0;0;0;0;0
9649;-54.3208333336667;-32.770833333061;10.9416666030884;444.110238274679;4.59999990463257;18.6666666666667;1305;10.1471974155583;343;0;0;0;0;0;0;0;0;0;0;0;0;0
9650;-53.0375000003333;-32.770833333061;7.57499972979228;411.269982796655;8.30000019073486;19.4000000953674;1235;13.4000183753233;346;0;0;0;0;0;0;0;0;0;0;0;0;0
9651;-55.5458333336667;-32.7791666663938;12.1583336591721;473.480632672829;4.59999990463257;19.766666730245;1216;7.42265681203118;322;0;0;0;0;0;0;0;0;0;0;0;0;0
9652;-55.2375000003333;-32.7791666663938;11.6333334445953;466.981766100525;4.59999990463257;19.4499999682109;1247;6.23636038297838;326;0;0;0;0;0;0;0;0;0;0;0;0;0
9653;-54.7375000003333;-32.7791666663938;11.425000111262;454.769977021452;4.19999980926514;18.6500000953674;1291;7.27767260889706;337;0;0;0;0;0;0;0;0;0;0;0;0;0
9654;-53.579166667;-32.7791666663938;9.91666650772095;432.533940122631;6.59999990463257;19.5499997138977;1275;12.2226670036279;348;0;0;0;0;0;0;0;0;0;0;0;0;0
